Company Name,Emissions Reporting Year,Emissions Report URL,EBITDA Report URL,Scope One Emissions,Scope Two Emissions,Scope Three Emissions,Total Emissions,Total Scope 1 & 2 Emissions,Monetized Scope 1 & 2 Emissions,Monetized Total Emissions,EBITDA,EBITDA Minus Total Monetized Emissions,Emissions Intensity Ratio,Emissions Intensity Percentage
BP,2023,"
https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/sustainability/group-reports/bp-esg-datasheet-2023.pdf","https://www.macrotrends.net/stocks/charts/BP/bp/ebitda#:~:text=BP%202022%20EBITDA%20was%2032.357,a%201.61%25%20decline%20from%202021",31.1,1.0,315.0,347.1,32.1,7575600000.0,81915600000.0,32360000000.0,-49555600000.0,2.5313844252163165,253.13844252163165
Exxon,2023,,,92.0,7.0,540.0,639.0,99.0,23364000000.0,150804000000.0,102590000000.0,-48214000000.0,1.4699678331221366,146.99678331221367
Alphabet Inc,2023,,,0.13,2.3,15.0,17.43,2.4299999999999997,573479999.9999999,4113479999.9999995,123110000000.0,118996520000.0,0.033413045244090646,3.3413045244090647
Microsoft,2023,https://www.statista.com/statistics/579993/greenhouse-gas-emissions-of-microsoft-by-type/,https://www.microsoft.com/en-us/investor/annual-reports,0.16,1.2,11.0,12.36,1.3599999999999999,320960000.0,2916960000.0,83410000000.0,80493040000.0,0.03497134636134756,3.4971346361347564
ExxonMobil,2023,,,92.0,7.0,540.0,639.0,99.0,23364000000.0,150804000000.0,102590000000.0,-48214000000.0,1.4699678331221366,146.99678331221367
Shell,2023,https://reports.shell.com/annual-report/2023/strategic-report/our-journey-to-net-zero/climate-related-metrics-and-targets/scope-3-and-net-carbon-intensity.html,,50.0,7.0,517.0,574.0,57.0,13452000000.0,135464000000.0,86520000000.0,-48944000000.0,1.5656957928802588,156.5695792880259
Chevron,,https://www.chevron.com/-/media/shared-media/documents/2023-sustainability-performance-data.pdf,,52.0,4.0,405.0,461.0,56.0,13216000000.0,108796000000.0,66500000000.0,-42296000000.0,1.63603007518797,163.603007518797
TotalEnergies,2023,https://totalenergies.com/system/files/documents/2023-03/Sustainability_Climate_2023_Progress_Report_EN.pdf,,50.0,3.0,389.0,442.0,53.0,12508000000.0,104312000000.0,48770000000.0,-55542000000.0,2.138855854008612,213.88558540086117
UPS,2023,https://about.ups.com/content/dam/upsstories/images/social-impact/reporting/2022-reporting/2022%20UPS%20GRI%20Report.pdf,,15.84,0.63,16.86,33.33,16.47,3886919999.9999995,7865879999.999999,16280000000.000002,8414120000.000003,0.48316216216216207,48.316216216216205
Fedex,2023,https://www.fedex.com/content/dam/fedex/us-united-states/sustainability/gcrs/FedEx_2023_ESG_Report.pdf,,17.11,0.86,4.27,22.24,17.97,4240920000.0,5248639999.999999,9200000000.0,3951360000.000001,0.5705043478260868,57.05043478260868
